,mol_idx,atom_idx,predicted_shift,true_shift,error
0,5376,0,128.84159,129.5,-0.6584100000000035
1,5376,1,127.81984,129.9,-2.0801600000000064
2,5376,2,127.7911775,129.9,-2.1088225000000023
3,5376,3,128.939095,129.5,-0.5609049999999911
4,5376,4,133.397455,134.3,-0.9025450000000035
5,5376,5,133.60635,134.3,-0.6936500000000194
6,5376,6,132.14901,132.7,-0.5509899999999845
7,5376,7,132.09407499999998,132.7,-0.6059250000000134
8,5376,8,132.00071,134.2,-2.1992899999999906
9,5376,9,132.51925,134.2,-1.680749999999989
10,5376,10,190.99264499999998,192.3,-1.3073550000000296
11,5376,11,190.93042,192.3,-1.3695800000000133
12,5377,3,132.951875,132.5,0.45187500000000114
13,5377,4,138.81766,137.1,1.717659999999995
14,5377,6,74.98280700000001,72.9,2.0828070000000025
15,5377,7,75.3587,72.9,2.4586999999999932
16,5377,8,139.03715499999998,137.1,1.93715499999999
17,5377,13,132.804535,132.5,0.3045349999999871
18,5378,0,126.194545,126.9,-0.7054550000000006
19,5378,1,122.992325,122.0,0.9923249999999939
20,5378,2,150.90407,149.7,1.2040700000000015
21,5378,3,122.07972000000001,120.5,1.579720000000009
22,5378,4,150.90504499999997,149.7,1.2050449999999842
23,5378,5,123.06304,122.0,1.0630400000000009
24,5378,6,72.23883000000001,70.7,1.5388300000000044
25,5378,7,72.323425,70.7,1.6234249999999975
26,5378,8,31.409911,32.0,-0.590088999999999
27,5378,9,31.4454725,32.0,-0.554527499999999
28,5378,10,31.316337,32.0,-0.6836629999999992
29,5378,11,31.3552565,32.0,-0.6447435000000006
30,5379,0,123.0210275,123.5,-0.4789724999999976
31,5379,1,144.03739000000002,142.8,1.2373900000000049
32,5379,2,145.1816,144.8,0.3815999999999917
33,5379,3,124.36600200000001,124.4,-0.033997999999996864
34,5379,4,126.70293000000001,127.4,-0.6970699999999965
35,5379,5,126.874768,126.9,-0.025232000000002586
36,5379,6,37.231251,38.3,-1.0687489999999968
37,5379,7,133.33760999999998,140.4,-7.062390000000022
38,5379,8,141.94606,138.6,3.3460599999999943
39,5380,0,136.54779000000002,136.9,-0.35220999999998526
40,5380,1,120.94799499999999,121.1,-0.1520050000000026
41,5380,2,155.86204500000002,155.7,0.16204500000003463
42,5380,3,149.49538,149.9,-0.4046199999999942
43,5380,4,122.39398249999999,123.1,-0.7060175000000015
44,5380,5,143.99914,144.8,-0.8008600000000001
45,5380,6,127.573395,127.4,0.1733949999999993
46,5380,7,129.52452,130.1,-0.5754799999999989
47,5380,8,136.271415,136.3,-0.028585000000020955
48,5380,9,129.630305,130.1,-0.46969500000000153
49,5380,10,127.298775,127.4,-0.10122499999999945
50,5380,11,192.2548,191.9,0.35479999999998313
51,5381,0,150.70974999999999,150.4,0.30974999999997976
52,5381,1,122.843433,122.7,0.1434330000000017
53,5381,2,143.159985,143.9,-0.7400149999999996
54,5381,3,194.307795,193.8,0.5077949999999873
55,5381,4,123.08048,122.7,0.3804799999999915
56,5381,5,135.34507000000002,134.1,1.2450700000000268
57,5381,6,130.52743,131.5,-0.9725699999999904
58,5381,7,128.72627,129.0,-0.2737300000000005
59,5381,8,138.633605,140.1,-1.4663950000000057
60,5381,9,128.83022499999998,129.0,-0.16977500000001555
61,5381,10,130.747015,131.5,-0.7529849999999954
62,5381,11,149.99597,150.4,-0.4040300000000059
63,5382,0,128.48425500000002,128.2,0.2842550000000301
64,5382,1,131.31507499999998,132.2,-0.8849250000000097
65,5382,2,129.38056,130.3,-0.9194400000000087
66,5382,3,131.765195,132.2,-0.434804999999983
67,5382,4,128.53935,128.2,0.33935000000002447
68,5382,5,128.032195,129.2,-1.167804999999987
69,5382,6,75.80711,74.0,1.8071099999999944
70,5382,7,75.70089,74.0,1.7008900000000011
71,5382,8,56.171639,53.3,2.871639000000002
72,5382,9,129.38494,130.3,-0.9150600000000111
73,5382,10,131.889225,132.2,-0.31077499999997826
74,5382,11,128.571605,128.2,0.3716050000000166
75,5382,12,128.054407,129.2,-1.145592999999991
76,5382,13,128.53253,128.2,0.33253000000001975
77,5382,14,131.50019,132.2,-0.6998099999999852
78,5383,0,75.2977475,74.6,0.6977475000000055
79,5383,3,74.464078,74.6,-0.13592199999999366
80,5383,4,77.902558,71.9,6.002557999999993
81,5383,5,129.60733,130.5,-0.8926700000000096
82,5383,6,130.993975,132.1,-1.1060249999999883
83,5383,7,128.53821499999998,128.4,0.138214999999974
84,5383,8,128.01465,129.4,-1.3853500000000167
85,5383,9,128.571825,128.4,0.17182499999998413
86,5383,10,131.565755,132.1,-0.5342449999999985
87,5384,0,109.833585,109.8,0.033585000000002196
88,5384,1,142.38035000000002,142.5,-0.11964999999997872
